Apotek;Jan;Feb;Mar;GrandTotal
1;0;0;19000;19000
2;15000;0;0;15000
3;114000;0;0;114000
4;0;0;68000;68000
5;0;19000;0;19000
6;15000;0;0;15000
7;19000;0;0;19000
8;0;0;15000;15000
9;0;26000;0;26000
10;0;0;15000;15000
11;0;0;90000;90000
12;0;26000;0;26000
13;0;150000;0;150000
14;0;0;75000;75000
15;26000;26000;15000;67000
16;0;19000;15000;34000
17;262000;68000;0;330000
18;90000;0;0;90000
19;15000;15000;0;30000
20;75000;60000;15000;150000
21;0;0;38000;38000
22;52000;0;0;52000
23;0;0;26000;26000
24;95000;0;0;95000
25;57000;114000;0;171000
26;78000;0;52000;130000
27;0;0;15000;15000
28;19000;0;0;19000
29;156000;0;0;156000
30;0;0;50000;50000
31;104000;0;0;104000
32;0;0;50000;50000
33;30000;0;0;30000
34;0;0;38000;38000
35;0;56000;0;56000
36;78000;0;0;78000
37;0;76000;57000;133000
38;156000;0;312000;468000
39;0;0;26000;26000
40;0;0;19000;19000
41;0;0;30000;30000
42;0;78000;0;78000
43;19000;0;0;19000
44;0;0;26000;26000
45;15000;15000;15000;45000
46;0;15000;0;15000
47;0;15000;0;15000
48;0;0;15000;15000
49;0;0;135000;135000
50;0;0;26000;26000
51;440000;38000;0;478000
52;0;26000;0;26000
53;0;0;15000;15000
54;0;30000;0;30000
55;0;19000;0;19000
56;0;234000;0;234000
57;0;0;75000;75000
58;0;0;72000;72000
59;0;78000;0;78000
60;0;149000;112000;261000
61;60000;0;0;60000
62;0;0;130000;130000
63;114000;0;0;114000
64;78000;0;0;78000
65;114000;0;0;114000
66;0;57000;0;57000
67;26000;0;0;26000
68;0;0;45000;45000
69;0;26000;0;26000
70;0;0;26000;26000
71;624000;0;0;624000
72;86000;93000;30000;209000
73;0;15000;45000;60000
74;105000;165000;286000;556000
75;1105000;875000;1505000;3485000
76;0;0;270000;270000
77;533000;150000;138000;821000
78;534000;265000;548000;1347000
79;1023000;187000;45000;1255000
80;0;286000;71000;357000
81;254000;333000;168000;755000
82;348000;587000;80000;1015000
83;0;176000;207000;383000
84;308000;186000;45000;539000
85;203000;275000;239000;717000
86;877000;612000;240000;1729000
87;186000;127000;100000;413000
88;141000;121000;15000;277000
89;0;338000;86000;424000
90;255000;273000;400000;928000
91;126000;303000;160000;589000
92;0;258000;30000;288000
93;78000;26000;115000;219000
94;0;0;15000;15000
95;520000;593000;332000;1445000
96;187000;291000;79000;557000
97;93000;78000;115000;286000
98;106000;30000;0;136000
99;487000;281000;0;768000
100;78000;312000;0;390000
101;0;260000;216000;476000
102;0;1062000;315000;1377000
103;0;288000;0;288000
104;0;303000;0;303000
105;339000;185000;279000;803000
106;38000;0;0;38000
107;415000;230000;105000;750000
108;41000;177000;49000;267000
109;258000;135000;30000;423000
110;45000;67000;0;112000
111;561000;117000;290000;968000
112;76000;0;0;76000
113;281000;499000;104000;884000
114;440000;449000;391000;1280000
115;276000;38000;45000;359000
116;0;284000;30000;314000
117;0;179000;15000;194000
118;193000;193000;30000;416000
119;132000;67000;0;199000
120;387000;176000;60000;623000
121;0;0;426000;426000
122;178000;80000;0;258000
123;269000;284000;19000;572000
124;80000;86000;95000;261000
125;30000;0;0;30000
126;253000;0;195000;448000
127;266000;15000;83000;364000
128;275000;418000;90000;783000
129;150000;1470000;140000;1760000
130;0;323000;15000;338000
131;238000;294000;130000;662000
132;0;138000;0;138000
133;158000;45000;95000;298000
134;730000;391000;0;1121000
135;0;238000;15000;253000
136;0;0;19000;19000
137;0;0;15000;15000
138;156000;0;38000;194000
139;0;52000;52000;104000
140;0;0;26000;26000
141;0;15000;0;15000
142;0;0;38000;38000
143;0;0;15000;15000
144;0;30000;0;30000
145;0;0;52000;52000
146;0;0;312000;312000
147;0;26000;0;26000
148;0;26000;0;26000
149;201000;0;0;201000
150;0;0;15000;15000
151;0;0;38000;38000
152;0;0;19000;19000
153;50000;26000;26000;102000
154;0;26000;15000;41000
155;0;15000;0;15000
156;0;26000;0;26000
157;45000;0;0;45000
158;0;0;15000;15000
159;0;104000;0;104000
160;0;0;78000;78000
161;0;0;150000;150000
162;0;0;118000;118000
163;0;30000;0;30000
164;0;228000;912000;1140000
165;0;150000;0;150000
166;0;15000;0;15000
167;150000;30000;0;180000
168;26000;15000;0;41000
169;0;15000;0;15000
170;0;0;15000;15000
171;15000;0;0;15000
172;0;0;15000;15000
173;0;19000;68000;87000
174;0;75000;0;75000
175;30000;0;0;30000
176;0;0;26000;26000
177;0;0;38000;38000
178;0;26000;0;26000
179;0;0;26000;26000
180;0;0;50000;50000
